source_id,reference,year,source_type,doi,url,n_solubility,n_watercontent,n_liquidwatercontent,n_mixtures,n_phaseboundaries
barrett1988_h2s,"Barrett, T.J.; Anderson, G.M.; Lugowski, J. (1988). The solubility of hydrogen sulphide in 0-5 M NaCl solutions at 25-95 degC and one atmosphere. Geochim. Cosmochim. Acta 52, 807-811. DOI: 10.1016/0016-7037(88)90352-3.",1988,journal,10.1016/0016-7037(88)90352-3,,277,0,0,0,0
bartelswrbitzky1960_co2,"Bartels, H.; Wrbitzky, R. (1960). Pflugers Arch. 271, 162-168. DOI: 10.1007/bf00363002.",1960,journal,10.1007/bf00363002,,6,0,0,0,0
bartholomefriz1956_co2,"Bartholomé, E.; Friz, H. (1956). Chem. Ing. Tech. 28, 706-708. DOI: 10.1002/cite.330281105.",1956,journal,10.1002/cite.330281105,,15,0,0,0,0
bartlett1927_h2,"Bartlett, E.P. (1927). ""The Concentration of Water Vapor in Compressed Hydrogen, Nitrogen and a Mixture of These Gases in the Presence of Condensed Water."" J. Am. Chem. Soc. 49(1), 65-78. DOI 10.1021/ja01400a010.",1927,journal,10.1021/ja01400a010,,0,6,0,0,0
bartlett1927_n2,"Bartlett, E.P. (1927). ""The Concentration of Water Vapor in Compressed Hydrogen, Nitrogen and a Mixture of These Gases in the Presence of Condensed Water."" J. Am. Chem. Soc. 49(1), 65-78. DOI 10.1021/ja01400a010.",1927,journal,10.1021/ja01400a010,,0,6,0,46,0
bartonhsu1971_co2,"Barton, J.R.; Hsu, C.C. (1971). J. Chem. Eng. Data 16, 93-95.",1971,journal,,,3,0,0,0,0
bastami2014_co2,"Bastami, A.; Allahgholi, M.; Pourafshary, P. (2014). ""Experimental and modelling study of the solubility of CO2 in various CaCl2 solutions at different temperatures and pressures."" Pet. Sci. 11(4), 569-577. DOI 10.1007/s12182-014-0373-1.",2014,journal,10.1007/s12182-014-0373-1,,32,0,0,0,0
bennaim1973_c2c4,"Ben-Naim, A., Wilf, J. & Yaacobi, M. (1973). ""Hydrophobic interaction in light and heavy water."" J. Phys. Chem. 77, 95-102. DOI 10.1021/j100620a021.",1973,journal,10.1021/j100620a021,,12,0,0,0,0
bennaimwilfyaacobi1973_ch4,"Ben-Naim, A., Wilf, J., Yaacobi, M., 1973. Hydrophobic interaction in light and heavy water. J. Phys. Chem. 77, 95-102. DOI: 10.1021/j100620a021.",1973,journal,10.1021/j100620a021,,5,0,0,0,0
bennaimyaacobi1974_c2c4,"Ben-Naim, A.; Yaacobi, M. (1974). ""Effects of solutes on the strength of hydrophobic interaction and its temperature dependence."" J. Phys. Chem. 78(2), 170-175. DOI 10.1021/j100595a600 (Crossref-verified 2026-09-03)",1974,journal,10.1021/j100595a600,,20,0,0,0,0
bennaimyaacobi1974_ch4,"Ben-Naim, A., Yaacobi, M., 1974. J. Phys. Chem. 78(2), 170-175. DOI: 10.1021/j100595a600.",1974,journal,10.1021/j100595a600,,55,0,0,0,0
bensonparker1961_n2,"Benson, B.B., Parker, P.D.M. (1961). Data reproduced from Battino, R. (ed.) (1982). Nitrogen and Air. Solubility Data Series, Vol. 10. Pergamon Press. ISBN 0-08-023922-6, §1.3 (data sheet, pp.82-83). Original publication details were not independently verified.",1961,compilation,,,28,0,0,0,0
berlrittener1907_h2s,"Berl, A.; Rittener, A. (1907). Z. angew. Chem. 20, 1637-1642. Data reproduced from IUPAC Solubility Data Series, Vol. 32: Hydrogen Sulfide, Deuterium Sulfide and Hydrogen Selenide (and Hydrogen Telluride) in Water and Aqueous Solutions (Fogg, P.G.T.; Young, C.L., eds.), Pergamon Press, 1988, printed p.48. DOI: 10.1016/b978-0-08-032481-4.50006-8. Original publication details were not independently verified.",1907,compilation,10.1016/b978-0-08-032481-4.50006-8,,8,0,0,0,0
bermejo2005_co2,"Bermejo, M.D.; Martin, A.; Florusse, L.J.; Peters, C.J.; Cocero, M.J. (2005). ""The influence of Na2SO4 on the CO2 solubility in water at high pressure."" Fluid Phase Equilib. 238(2), 220-228. DOI 10.1016/j.fluid.2005.10.006.",2005,journal,10.1016/j.fluid.2005.10.006,,139,0,0,0,0
bikov1937_n2,"Bikov (1937). Data reproduced from Battino, R. (ed.) (1982). Nitrogen and Air. Solubility Data Series, Vol. 10. Pergamon Press. ISBN 0-08-023922-6, §1.4, ref.5. Original publication details were not independently verified.",1937,compilation,,,32,0,0,0,0
blanco1999_c2c4,"Blanco, S.T.; Velasco, I.; Rauzy, E.; Otín, S. (1999). [Water dew points of hydrocarbon systems]. Fluid Phase Equilib. 161(1), 107-117. DOI 10.1016/s0378-3812(99)00164-8.",1999,journal,10.1016/s0378-3812(99)00164-8,,0,100,0,0,0
blancosmith1978_ch4,"Blanco, L.H., Smith, N.O., 1978. High-pressure solubility of methane in aqueous calcium chloride and aqueous tetraethylammonium bromide... J. Phys. Chem. 82, 186-191. DOI: 10.1021/j100491a012.",1978,journal,10.1021/j100491a012,,30,0,0,0,0
blencoe2001_co2,"Blencoe, J.G.; Naney, M.T.; Anovitz, L.M. (2001). ""The CO2-H2O system: III. A new experimental method for determining liquid-vapor equilibria at high subcritical temperatures."" Am. Mineral. 86(9), 1100-1111. DOI 10.2138/am-2001-8-918.",2001,journal,10.2138/am-2001-8-918,,8,0,0,0,0
blountprice1982_ch4,"Blount, C.W., Price, L.C., 1982. Solubility of methane in water under natural conditions: a laboratory study. Final report, April 1, 1978-June 30, 1982. DOE Contract No. DE-A508-78ET12145. DOI: 10.2172/5281520.",1982,report,10.2172/5281520,,798,0,0,0,0
bohr1899_co2,"Bohr, C. Ann. Phys. Chem. 1899, 68, 500-525.",1899,journal,,,15,0,0,0,0
bohr1910_n2,"Bohr, C. (1910). Data reproduced from Battino, R. (ed.) (1982). Nitrogen and Air. Solubility Data Series, Vol. 10. Pergamon Press. ISBN 0-08-023922-6, §1.4, ref.3. Original publication details were not independently verified.",1910,compilation,,,2,0,0,0,0
bohrbock1891_co2,"Bohr, C.; Bock, J. Ann. Phys. Chem., NF 1891, 44, 318-343.",1891,journal,,,2,0,0,0,0
bohrbock1891water_h2,"Bohr, C., Bock, J. (1891). Bestimmung der Absorption einiger Gase in Wasser bei den Temperaturen zwischen 0 und 100 deg. Annalen der Physik 280(10), 318-343. DOI: 10.1002/andp.18912801010.",1891,journal,10.1002/andp.18912801010,,18,0,0,0,0
bohrbock1891watersmoothed_h2,"Bohr, C., Bock, J. (1891). Bestimmung der Absorption einiger Gase in Wasser bei den Temperaturen zwischen 0 und 100 deg. Annalen der Physik 280(10), 318-343. DOI: 10.1002/andp.18912801010.",1891,journal,10.1002/andp.18912801010,,47,0,0,0,0
brastedhirayama1958_n2,"Brasted, R.C., Hirayama, C. (1958). Data reproduced from Battino, R. (ed.) (1982). Nitrogen and Air. Solubility Data Series, Vol. 10. Pergamon Press. ISBN 0-08-023922-6, §1.4, ref.10. Original publication details were not independently verified.",1958,compilation,,,12,0,0,0,0
braun1900_h2,"Braun, L. (1900). Z. Phys. Chem. 33, 721-741. DOI: 10.1515/zpch-1900-3349.",1900,journal,10.1515/zpch-1900-3349,,56,0,0,0,0
braun1900_n2,"Braun (1900). Data reproduced from Battino, R. (ed.) (1982). Nitrogen and Air. Solubility Data Series, Vol. 10. Pergamon Press. ISBN 0-08-023922-6, §1.4, ref.1. Original publication details were not independently verified.",1900,compilation,10.1515/zpch-1900-3349,,100,0,0,0,0
brionesetal1987_co2,"Briones et al., Ternary phase equilibria for acetic acid-water mixtures with supercritical carbon dioxide, Fluid Phase Equilibr., 36, 235-246, 1987. DOI: 10.1016/0378-3812(87)85026-4.",1987,journal,10.1016/0378-3812(87)85026-4,,8,7,0,0,0
bruhngerlachpawlek1965_h2,"Bruhn, G., Gerlach, J., Pawlek, F. (1965). Zeit. Anorg. Allg. Chem. 337, 68-79. DOI: 10.1002/zaac.19653370111.",1965,journal,10.1002/zaac.19653370111,,65,0,0,0,0
bruusgaard2010_ch4,"Bruusgaard, H., Beltrán, J.G., Servio, P., 2010. Fluid Phase Equilib. DOI: 10.1016/j.fluid.2010.02.042.",2010,journal,10.1016/j.fluid.2010.02.042,,0,0,0,24,0
buch1926_co2,"Buch, K. Nordiska Kemistmötet (Finland) 1926, 184-192.",1926,conference,,,14,0,0,0,0
bunsen1855_co2,"Bunsen, R.W.E. Phil. Mag. 1855, 9, 116-130, 181-201; Gasometrische Methoden, Braunschweig 1857.",1855,journal,,,6,0,0,0,0
bunsen1855water_ch4,"Bunsen, R.W., 1855. In: Clever, H.L., Young, C.L. (Eds.), Solubility Data Series (1987), Methane, vols. 27-28. Pergamon Press, Oxford.",1855,compilation,,,5,0,0,0,0
burmakina1982_co2,"Burmakina, G.V.; Efanov, L.N.; Shnet, M.A. (1982). Zh. Fiz. Khim. 56, 1159-1161.",1982,journal,,,8,0,0,0,0
byeseda1985_h2s,"Byeseda, J.J. (1985). Proc. Laurance Reid Gas Conditioning Conference.",1985,conference,,,1,0,0,0,0
byrnestoessell1982_ch4,"Byrne, P.A., Stoessell, R.K., 1982. Methane solubilities in multisalt solutions. Geochimica et Cosmochimica Acta 46, 2395-2397. DOI: 10.1016/0016-7037(82)90210-1.",1982,journal,10.1016/0016-7037(82)90210-1,,15,0,0,0,0
campos2009_co2,"Campos, C.E.P.S., Villardi, H.G.D.A., Pessoa, F.L.P., Uller, A.M.C. (2009). Solubility of Carbon Dioxide in Water and Hexadecane: Experimental Measurement and Thermodynamic Modeling. J. Chem. Eng. Data 54, 2881-2886. DOI: 10.1021/je800966f.",2009,journal,10.1021/je800966f,,18,0,0,0,0
carroll1997_c2c4,"Carroll, J.J., Jou, F.-Y. & Mather, A.E. (1997). ""Fluid phase equilibria in the system n-butane + water."" Fluid Phase Equilib. 140(1-2), 157-169. DOI 10.1016/s0378-3812(97)00199-4.",1997,journal,10.1016/s0378-3812(97)00199-4,,26,0,0,0,0
carroll1998_ch4,"Carroll, J.J., Jou, F.-Y., Mather, A.E., Otto, F.D. (1998). The Solubility of Methane in Aqueous Solutions of Monoethanolamine, Diethanolamine and Triethanolamine. The Canadian Journal of Chemical Engineering 76(5), 945-951. DOI: 10.1002/cjce.5450760512.",1998,journal,10.1002/cjce.5450760512,,43,0,0,0,0
carrollmather1989_h2s,"Carroll, J.J.; Mather, A.E. (1989). ""Phase Equilibrium in the System Water-Hydrogen Sulphide: Experimental Determination of the LLV Locus."" Can. J. Chem. Eng. 67(3), 468-470. DOI 10.1002/cjce.5450670318.",1989,journal,10.1002/cjce.5450670318,,0,0,0,0,36
carvalho2015_co2,"Carvalho, P.J.; Pereira, L.M.C.; Goncalves, N.P.F.; Queimada, A.J.; Coutinho, J.A.P. (2015). ""Carbon dioxide solubility in aqueous solutions of NaCl: Measurements and modeling with electrolyte equations of state."" Fluid Phase Equilib. 388, 100-106. DOI 10.1016/j.fluid.2014.12.043.",2015,journal,10.1016/j.fluid.2014.12.043,,110,0,0,0,0
chabab2019_co2,"Chabab, S.; Théveneau, P.; Corvisier, J.; Coquelet, C.; Paricaud, P. (2019). Int. J. Greenh. Gas Control 91, 102825. DOI: 10.1016/j.ijggc.2019.102825.",2019,journal,10.1016/j.ijggc.2019.102825,,21,0,0,0,0
chabab2020_h2,"Chabab, S., Théveneau, P., Coquelet, C., Corvisier, J., Paricaud, P. (2020). Measurements and predictive models of high-pressure H2 solubility in brine (H2O+NaCl) for underground hydrogen storage application. Int. J. Hydrogen Energy 45(56), 32206-32220. DOI: 10.1016/j.ijhydene.2020.08.192.",2020,journal,10.1016/j.ijhydene.2020.08.192,,37,0,0,0,0
chabab2021_co2,"Chabab, S.; Ahmadi, P.; Théveneau, P.; Coquelet, C.; Chapoy, A.; Corvisier, J.; Paricaud, P. (2021). J. Chem. Eng. Data 66(1), 609-620. DOI: 10.1021/acs.jced.0c00799.",2021,journal,10.1021/acs.jced.0c00799,,14,0,0,0,0
chabab2024_h2,"Chabab, S.; Kerkache, H.; Bouchkira, I.; Poulain, M.; Baudouin, O.; Moine, E.; Ducousso, M.; Hoang, H.; Galliero, G.; Cezac, P. (2024). Solubility of H2 in water and NaCl brine under subsurface storage conditions: Measurements and thermodynamic modeling. International Journal of Hydrogen Energy 50, 648-658. DOI: 10.1016/j.ijhydene.2023.10.290.",2024,journal,10.1016/j.ijhydene.2023.10.290,,51,0,0,0,0
chapoy2003_ch4,"Chapoy et al., Solubility measurement and modeling of water in the gas phase of the methane/water binary system at temperatures from 283.08 to 318.12 K and pressures up to 34.5MPa, Fluid Phase Equilibria, 214(1), 101-117, 2003. DOI: 10.1016/s0378-3812(03)00322-4.",2003,journal,10.1016/s0378-3812(03)00322-4,,0,39,0,0,0
chapoy2004_c2c4,"Chapoy, A., Mokraoui, S., Valtz, A., Richon, D., Mohammadi, A.H. & Tohidi, B. (2004). ""Solubility measurement and modeling for the system propane-water from 277.62 to 368.16 K."" Fluid Phase Equilib. 226, 213-220. DOI 10.1016/j.fluid.2004.08.040.",2004,journal,10.1016/j.fluid.2004.08.040,,61,0,0,26,0
chapoy2004_ch4,"Chapoy, A., Mohammadi, A.H., Richon, D. & Tohidi, B. (2004). ""Gas solubility measurement and modeling for methane-water and methane-ethane-n-butane-water systems at low temperature conditions."" Fluid Phase Equilib. 220, 111-119. DOI 10.1016/j.fluid.2004.02.010.",2004,journal,10.1016/j.fluid.2004.02.010,,16,0,0,16,0
chapoy2004_n2,"Chapoy, A., Mohammadi, A.H., Tohidi, B., Richon, D. (2004). Gas solubility measurement and modeling for the nitrogen plus water system from 274.18 K to 363.02 K. Journal of Chemical and Engineering Data 49, 1110-1115. DOI: 10.1021/je049869d.",2004,journal,10.1021/je049869d,,52,0,0,0,0
chapoy2005_ch4,"Chapoy, Antonin et al., Estimation of Water Content for Methane + Water and Methane + Ethane + n-Butane + Water Systems Using a New Sampling Device, Journal of Chemical & Engineering Data, 50(4), 1157-1161, 2005. DOI: 10.1021/je049615s.",2005,journal,10.1021/je049615s,,0,21,0,0,0
chapoy2005_h2s,"Chapoy, A.; Mohammadi, A.H.; Tohidi, B. (2005). Ind. Eng. Chem. Res. 44, 7567-7574. DOI: 10.1021/ie0511231.",2005,journal,10.1021/ie0511231,,31,15,0,0,0
chapoyetal2004_co2,"Chapoy, A., Mohammadi, A.H., Chareton, A., Tohidi, B., Richon, D. (2004). Measurement and modeling of gas solubility and literature review of the properties for the carbon dioxide-water system. Ind. Eng. Chem. Res. 43(7), 1794-1802. DOI: 10.1021/ie034232t.",2004,journal,10.1021/ie034232t,,4,0,0,0,0
choudhary1982_h2,"Choudhary, V.R., Parande, M.G., Brahme, P.H. (1982). Simple Apparatus for Measuring Solubility of Gases at High Pressures. Ind. Eng. Chem. Fundam. 21, 472-474. DOI: 10.1021/i100008a027.",1982,journal,10.1021/i100008a027,,4,0,0,0,0
christoff1906_ch4,"Christoff, A., 1906. Z. Phys. Chem. 55, 622-634. DOI: 10.1515/zpch-1906-5537.",1906,journal,10.1515/zpch-1906-5537,,1,0,0,0,0
christoff1906_n2,"Christoff (1906). Data reproduced from Battino, R. (ed.) (1982). Nitrogen and Air. Solubility Data Series, Vol. 10. Pergamon Press. ISBN 0-08-023922-6, §1.4, ref.2. Original publication details were not independently verified.",1906,compilation,10.1515/zpch-1906-5537,,1,0,0,0,0
clarkeglew1971table1_h2s,"Clarke, E.C.W.; Glew, D.N. (1971). ""Aqueous Nonelectrolyte Solutions. Part VIII. Deuterium and Hydrogen Sulfide Solubilities in Deuterium Oxide and Water."" Can. J. Chem. 49(5), 691-698. DOI 10.1139/v71-116.",1971,journal,10.1139/v71-116,,36,0,0,0,0
claussenpolglase1952_c2c4,"Claussen, W.F. & Polglase, M.F. (1952). ""Solubilities and Structures in Aqueous Aliphatic Hydrocarbon Solutions."" J. Am. Chem. Soc. 74(19), 4817-4819. DOI 10.1021/ja01139a026.",1952,journal,10.1021/ja01139a026,,13,0,0,0,0
claussenpolglase1952_ch4,"Claussen, W.F., Polglase, M.F., 1952. Solubilities and structures in aqueous aliphatic hydrocarbon solutions. J. Am. Chem. Soc. [vol as printed '7'](19), 4817-4819. DOI: 10.1021/ja01139a026.",1952,journal,10.1021/ja01139a026,,6,0,0,0,0
cleverbattinosaylorgross1957_n2,"Clever, H.L., Battino, R., Saylor, J.H., Gross, P.M. (1957). Data reproduced from Battino, R. (ed.) (1982). Nitrogen and Air. Solubility Data Series, Vol. 10. Pergamon Press. ISBN 0-08-023922-6, §1.1 (data sheet, p.64). Original publication details were not independently verified.",1957,compilation,,,1,0,0,0,0
coanking1971_c2c4,"Coan, C.R.; King, A.D. (1971). [Solubility of water in compressed carbon dioxide, nitrous oxide, and ethane]. J. Am. Chem. Soc. 93(8), 1857-1862. DOI 10.1021/ja00737a004.",1971,journal,10.1021/ja00737a004,,0,56,0,0,0
coanking1971_co2,"Coan, C.R.; King, A.D., Jr. (1971). J. Am. Chem. Soc. 93, 1857-1862 (vol/pages UNVERIFIED vs Spycher text). DOI: 10.1021/ja00737a004.",1971,journal,10.1021/ja00737a004,,0,22,0,0,0
corti1990_co2,"Corti, H.R., et al. (1990). Ind. Eng. Chem. Res. 29, 1043. DOI: 10.1021/ie00102a014.",1990,journal,10.1021/ie00102a014,,10,0,0,0,0
cosgrovewalkley1981_c2c4,"Cosgrove, B.A. & Walkley, J. (1981). ""Solubilities of Gases in H2O and 2H2O."" J. Chromatogr. A 216, 161-167. DOI 10.1016/s0021-9673(00)82344-4.",1981,journal,10.1016/s0021-9673(00)82344-4,,9,0,0,0,0
cosgrovewalkley1981_ch4,"Cosgrove, B.A., Walkley, J., 1981. Solubilities of gases in H2O and 2H2O. J. Chromatogr. 21, 161-167. DOI: 10.1016/S0021-9673(00)82344-4.",1981,journal,10.1016/S0021-9673(00)82344-4,,9,0,0,0,0
cosgrovewalkley1981_n2,"Cosgrove, B.A., Walkley, J. (1981). Journal of Chromatography A 216, 161-167. DOI: 10.1016/S0021-9673(00)82344-4.",1981,journal,10.1016/S0021-9673(00)82344-4,,8,0,0,0,0
cramer1982_co2,"Cramer, S.D. (1982). Rep. Invest. U.S. Bur. Mines, RI 8706.",1982,report,,,20,0,0,0,0
cramer1984_ch4,"Cramer, S.D., 1984. Ind. Eng. Chem. Process Des. Dev. 23(3), 533-538. DOI: 10.1021/i200026a021.",1984,journal,10.1021/i200026a021,,115,0,0,0,0
crovettofernandezprini1982_ch4,"Crovetto, R., Fernández-Prini, R., Japas, M.L., 1982. Solubilities of inert gases and methane in H2O and in D2O... J. Chem. Phys. 76(2), 1077-1086. DOI: 10.1063/1.443074.",1982,journal,10.1063/1.443074,,7,0,0,0,0
crovettowood1992_co2,"Crovetto, R.; Wood, R.H. (1992). Fluid Phase Equilib. 74, 271-288. DOI: 10.1016/0378-3812(92)85067-i.",1992,journal,10.1016/0378-3812(92)85067-i,,21,0,0,0,0
crozieryamamoto1974_h2,"Crozier, T.E., Yamamoto, S. (1974). J. Chem. Eng. Data 19(3), 242-244. DOI: 10.1021/je60062a007.",1974,journal,10.1021/je60062a007,,247,0,0,0,0
cui2026_ch4,"Cui, S.; Liang, H.; Deng, Z.; Kong, J.; Wu, Q.; Xu, K. (2026). Experimental and Theoretical Study on the Solubility of High-Temperature, High-Pressure, High-CO2 Natural Gas in Formation Water. Energies 19, 3038. DOI: 10.3390/en19133038.",2026,journal,10.3390/en19133038,,0,0,0,68,0
culbersonhornmcketta1950_c2c4,"Culberson, F.L., Horn, F.D. & McKetta, J.J. (1950). ""Phase Equilibria in Hydrocarbon-Water Systems -- The Solubility of Ethane in Water at Pressures to 1200 psi."" Pet. Trans. AIME 189 = J. Petrol. Tech. 2(01) T.P. 2778 1-6. DOI 10.2118/950001-g.",1950,journal,10.2118/950001-g,,30,0,0,0,0
culbersonhornmcketta1950_ch4,"Culberson, O.L., Horn, A.B., McKetta, J.J., 1950. Phase equilibria in hydrocarbon-water systems: the solubility of ethane in water at pressures to 1200 psi. Petroleum Transactions, AIME 189, 1-6 / J. Petrol. Tech. 1950, 2, 1-6 (SDS-27/28 §1.2 form). DOI: 10.2118/950001-g.",1950,journal,10.2118/950001-g,,11,0,0,0,0
culbersonmcketta1950_c2c4,"Culberson, F.L. & McKetta, J.J. (1950). ""Phase Equilibria in Hydrocarbon-Water Systems II -- The Solubility of Ethane in Water at Pressures to 10,000 psi."" J. Petrol. Tech. 2(11) 319-322. DOI 10.2118/950319-g.",1950,journal,10.2118/950319-g,,138,0,0,0,0
culbersonmcketta1951_ch4,"Culberson, O.L., McKetta, J.J., 1951. Phase equilibria in hydrocarbon-water systems: III -- The solubility of methane in water at pressures to 10,000 psia. Petroleum Transactions, AIME 192, 223-226; J. Petrol. Tech. 3(08), 223-226 (1951). DOI: 10.2118/951223-g.",1951,journal,10.2118/951223-g,,85,0,0,0,0
